id,Nival,Upper alpine,Lower alpine,Upper montane,Lower montane,Mountain with frost,Mountain without frost
Pegunungan Tamrau,0,0,0,0,0,0,6990
Pegunungan van Rees,0,0,0,0,0,0,52500
Penambo Range,0,0,0,0,0,0,18800
Penzhinskiy Khrebet,0,0,0,0,0,0,0
Poluostrov Taygonos,0,0,0,0,0,0,0
Ponnyadaung Range,0,0,0,0,0,0,67400
Posht-e-Kueh,0,0,0,0,101,1620,0
Primorskiy Khrebet,0,0,0,36,601,0,0
Qaidam Shan,0,24,24,191,0,0,0
Qareh Dagh,0,0,0,0,57900,0,0
Qasa Murg,0,0,0,0,15900,0,0
Qian Shan,0,0,0,0,96100,199000,0
Qilaotu Shan,0,0,0,0,78200,45,0
Qin Ling,0,0,0,4400,2340000,71000,0
Qinghai Nanshan,0,0,4800,96900,425000,0,0
Qingshuilang Shan,0,0,0,5830,18200,5260,0
Qionglai Shan,1290,2810,64400,221000,397000,313000,0
Raskoh,0,0,0,0,0,1820,0
Ryohaku-sanchi,0,0,0,2040,147000,61700,0
Sam Sao Range(1),0,0,0,56,6410,281,1950000
Sam Sao Range(2),0,0,0,0,0,1370,1.00E+06
Saruwaged Range,0,0,0,0,327000,1380000,2830000
Satak Daglari,0,0,0,0,0,0,11600
Satpura Range,0,0,0,0,0,28,136000
SEAsia-01,0,0,0,539,4340,0,124000
SEAsia-02,0,0,0,924,218000,35800,0
SEAsia-03,0,0,0,0,0,0,220000
Selemdzhinskiy Khrebet,0,0,0,144,0,0,0
Selenyakhskiy Khrebet,0,0,0,0,0,0,0
Selseleh-ye-Pir-Shuran,0,0,0,0,0,0,0
Seminskiy Khrebet,0,0,19,2040,2770,0,0
Serafeddin Daglari,0,0,0,0,9800,36600,0
Severnyy Anyuyskiy Khrebet,0,22,23,0,0,0,0
Severo-Muyskiy Khrebet,0,0,85,338,0,0,0
Seytan Dagi,0,0,0,0,3960,0,0
Shaluli Shan,52,286,68900,202000,15700,0,0
Shan Hills,0,0,0,0,32300,538000,974000
Shevaroy Hills,0,0,0,0,0,0,230000
Shikoku-sanchi,0,0,0,0,178000,402000,0
Shiwan Sashan,0,0,0,0,0,0,18100
Shopshal'skiy Khrebet,0,0,76,1280,323,0,0
Shule Nanshan,0,24,165,23,0,0,0
Sierra Madre,0,0,0,0,0,0,223000
Sobaek Mountains,0,0,0,0,8740,154000,0
Sredinnyy Khrebet(2),71,443,16200,46200,0,0,0
Stanovoy Khrebet,0,0,99,1340,0,0,0
Sulawesi,0,0,0,0,20600,0,2880000
Suleiman Range,0,0,0,0,7530,252000,1370
Sultan Daglari,0,0,0,0,50100,0,0
Suendiken Dagi,0,0,0,0,2260,0,0
Suephan Dagi,0,0,0,0,94100,0,0
T'aeback-Sanmaek,0,0,0,0,1600000,479000,0
Tahtali Daglari,0,0,0,47,25900,1120,0
Taihang Shan,0,0,0,0,383000,434000,0
Talyshskiye Gory,0,0,0,0,114000,0,0
Tambao Range,0,0,0,0,0,0,4570
Tanggula Shan,562,2670,106000,184000,901,0,0
Taniantaweng Shan,0,0,14400,106000,494,0,0
Tannu Ola,0,0,38,2900,927,0,0
Taykanskiy Khrebet,0,0,0,0,0,0,0
Tenasserim Hills,0,0,0,0,0,0,1220000
Tendueruek Dagi,0,0,0,768,38900,0,0
Terektinskiy Khrebet,0,0,38,2500,2660,0,0
Tergun Daba Shan,0,24,24,0,0,0,0
The Triangle,0,0,0,54,1930,3120,3820
Tianmu Shan,0,0,0,0,41200,570000,0
Tibetan Plateau (Xizang Gaoyuan),75,599,35700,43800,0,0,0
TienShan-01,245,936,1450,3110,5420,0,0
TienShan-02,0,0,795,6140,1840,22,0
Tigireskiy Khrebet,0,0,152,1350,1360,0,0
Toba & Kakar Ranges,0,0,0,0,43700,33300,0
Tongbai Shan,0,0,0,0,27000,22200,0
Toudao Jiang,0,0,0,0,42800,2310,0
Truong San,0,0,0,0,844,0,1420000
Tulai Nanshan,0,47,518,187,0,0,0
Tulai Shan,0,0,352,1360,0,0,0
Tungirskiy Khrebet,0,0,0,0,0,0,0
Tuergen Uul,836,116,209,1630,120000,47900,0
Turkestainskiy Khrebet,0,0,0,0,0,0,0
Tyl'skiy Khrebet,0,0,0,0,0,0,0
Ulu Dagi,0,0,0,923,6780,0,0
Ural Mountains,0,0,63,199,1570,0,0
Velikonda Range,0,0,0,0,0,0,107000
Verkhneangarskiy Khrebet,0,0,82,431,0,0,0
Verkhoyanskiy Khrebet,0,0,110,508,0,0,0
Victor Emanuel Range,0,0,0,0,0,0,53900
Vitimskoye Loskogor'ye,0,0,103,460,0,0,0
Vostochno-Sakhalinskiy Khrebet,0,0,0,0,0,0,0
Vostochnyy Sayan,0,0,107,2980,5480,0,0
Western Ghat,0,0,0,0,6260,0,3430000
Witti Range,0,0,0,0,0,0,22400
Wu Shan,0,0,0,0,199000,12800,0
Wudang Shan,0,0,0,0,324000,71200,0
Wugong Shan,0,0,0,0,6290,371000,0
Wuliang Shan,0,0,0,0,12300,322000,502000
Wuling Shan,0,0,0,0,115000,1080000,0
Wumeng Shan,0,0,0,490000,6740000,1380000,21000
Wutai Shan,0,0,0,819,178000,170000,0
Wuyi Shan,0,0,0,0,6400,961000,848000
Xianxia Ling,0,0,0,0,12900,509000,0
Xiao Hinggan Ling,0,0,0,0,94400,0,0
Xiao Shan,0,0,0,0,157000,27700,0
Xiong'er Shan,0,0,0,0,58400,15000,0
Xiqping Shan,0,0,1570,16500,0,0,0
Xue Shan,0,0,0,76200,8190,43400,0
